ID,TEXT,LABEL
0,"When his speaker remained silent Dirrul assumed he had been understood. He began to feel the pull of Vininese gravity, found himself in trouble with his ship. He tried to keep the disabled cargo carrier relatively stationary, so that the Vininese repair ships could locate him. With only one power tube, however, maneuver was impossible. The battered ship plunged out of control toward the planet. For an hour Dirrul fought with all the skill he knew. A thousand feet above the surface he managed to force the ship to level off temporarily. [SNIPPET] How big is a spation in space?"" ""Van Manderpootz has even measured that. A chronon is the length of time it takes one quantum of energy to push one electron from one electronic orbit to the next. There can obviously be no shorter interval of time, since an electron is the smallest unit of matter and the quantum the smallest unit of energy.",0
1,"If she had only come to me and said she desired her freedom. If they had only both come together and faced me, saying that though it meant giving up all they had, they wanted only each other! I would have been generous. I would have been indulgent. But they did not. They had not the courage. They were afraid of me. And they hated me."" [SNIPPET] Daddy was always shushing her.... But who was this big man in his dusty drab coveralls and dropped dust mask dangling upon his chest? ""Don't you know me, Dear? It's Buhl, your husband."" Buhl was fifteen and only a couple of inches taller than Ruth. Of course he had sandy hair like this man. But this man was old enough to be Buhl's father. This was crazy—like one of the dreams that always made her unhappy. So?",0
2,"He took a step to a little mound of good grass as if he were climbing to a rostrum. ""Wise one! Neither the holy one nor our own Grandmaster—both devoted patriots with their minds on the welfare of the City—thought to bring one very important fact to your attention. My apprentice's demonstration is not an original experiment; it is a reconstructed experiment. By Acknowledged Custom, reconstructed experiments are permitted regardless of mysteries and ideas so long as the experimenter does not comprehend any impious theory but merely follows the practical directions of old texts. ""I declare that my apprentice is ignorant of the theory of his demonstration—and who is in a better position to know than his master?"" Snubnose rejoiced. He was ready to forgive even the bread and water. [SNIPPET] Do you mind if I stroke one of your paws—hands—Professor?"" ("" So cuddly-looking!"") He said yes, as a matter of fact, he was hot, and no, he didn't mind being touched in a spirit of scientific investigation. He had a moment of uplift at the teachers' cafeteria when he discovered lunch to be virtually inedible.",0
3,"The light of the torch flared more brightly. Parr could make out figures in its glow—two of them. The torch itself was wedged in a crack of the rock, and beneath its flame the couple seemed to tug and wrench at something that gleamed darkly, like a great metal toadstool at the bottom of the depression. So engrossed were the workers that they did not notice Parr and his companions, and Parr, drawing near, had time to recognize both. One was Sadau, who would have remained his friend. The other was Varina Pemberton. In the torchlight she looked browner and more vigorous than when he had seen her last. [SNIPPET] And, despite the strangeness of their surroundings, the ceaseless, murmuring roar of the exhaust, the weird world outside, where endless space was waiting for man's exploration—despite the deadly menace that threatened, Chet dropped his head upon his outflung arms and slept. To his sleep-drugged brain it was scarcely a moment until a hand was dragging at his shoulder. ""Forty-seven hours!"" the voice of Schwartzmann was saying. And: ""Some navigating!"" Harkness was exclaiming in flattering amazement. """,0
4,"""It's platinum,"" Carstairs said. Tim Carstairs was a night-shift chemist. "" Anything wrong, Mr. Vogel?"" ""No."" Vogel paused. "" Thanks, Tim."" [SNIPPET] You'd think that after a year I would have realized that nothing could penetrate that thick Canuck's skull. He gets me so mad sometimes that I want to forget I'm a lady."" She paused thoughtfully. "" Come to think of it. No one ever accused me of being a lady in the first place."" ""Sounds like love,"" Ben smiled. Hunched over on the jump seat with her elbows on her knees and her chin cupped in both hands, Kelly gave the senior officer a quizzical sideways look. Ben was watching his monitors and missed the glance. Kelly sighed and stared out into the light streaked night of the thruway.",0
5,"Everybody knows that squixes live in xixxix trees and everybody knows that squixes are collectors. They collect all sorts of things, buttons and pins and twigs and pebbles—anything at all, in fact, that isn't too big for them to pick up and carry into their xixxix tree houses. They have been called less kind things than collectors. Thieves, for example, and scavengers. But collectors are what they really are. Collecting fulfills a basic need in their mammalian makeup; the possession of articles gives them a feeling of security. They love to surround their little furry bodies with all sorts of odds and ends, and their little arboreal houses are stuffed with everything you can think of. And they simply adore paper. [SNIPPET] In it was a watch ... but, what a watch! Besides the regulation Terran dial, it had a second smaller dial that registered the corresponding time on Mars. Tommy's whole heart went out to it in an ecstasy of longing. He thought wistfully that if you could know what time it was there, you could imagine what everyone was doing and it wouldn't seem so far away. Haltingly, he tried to explain. ""Look, Mom,"" he said breathlessly. "" It's almost five o'clock at home. Douwie will be coming up to the barn to be fed.",0
6,"There was no man from whom he kept fewer secrets than Mr. Guest; and he was not always sure that he kept as many as he meant. Guest had often been on business to the doctor’s; he knew Poole; he could scarce have failed to hear of Mr. Hyde’s familiarity about the house; he might draw conclusions: was it not as well, then, that he should see a letter which put that mystery to right? and above all since Guest, being a great student and critic of handwriting, would consider the step natural and obliging? The clerk, besides, was a man of counsel; he could scarce read so strange a document without dropping a remark; and by that remark Mr. Utterson might shape his future course.  “This is a sad business about Sir Danvers,” he said.  “Yes, sir, indeed. [SNIPPET] Suddenly it flashed upon me that my superior was a confirmed hater of unmarried women. I had clean forgotten it; and now the full import of what I had done scared me silent. ""Is anything the matter?"" asked Miss Barrison. ""No—not yet,"" I said, ominously. How on earth could I have overlooked that well-known fact. The hurry and anxiety, the stress of instant preparation and departure, had clean driven it from my absent-minded head. [120]Jogging on over the sand, I sat silent, cudgelling my brains for a solution of the disastrous predicament I had gotten into. I pictured the astonished rage of my superior—my probable dismissal from employment—perhaps the general overturning and smash-up of the entire expedition.",0
7,"gasped Robbins, and without a word he turned and fled, leaving the Nice Girl transfixed with astonishment and staring after him with a frown on her pretty brow.  “What does he mean by such conduct?” she asked herself. But Robbins disappeared from the gathering throng in the large room of the hotel, dashed down the steps, and hurried along the narrow pavements toward the “Golden Dragon.” The proprietor was standing in the hallway with his hands behind him, a usual attitude with the Dragon.  “Where,” gasped Robbins, “is Mr.—Mr.——” and then he remembered he didn’t know the name. “ [SNIPPET] This story differs from others in having an assortment of morals. Most stories have one moral; here are several. The moral usually appears at the end—in this case a few are mentioned at the beginning, so that they may be looked out for as the reading progresses. First: it is well for a man—especially a young man—to attend to his own business. Second: in planning a person’s life for some little distance ahead, it will be a mistake if an allowance of ten per cent. at least, is not made for that unknown quantity—woman. Third: it is beneficial to remember that one man rarely knows everything.",1
8,"""What shall we do now, Major? Walk? Maybe your nose can smell out another friend for us."" They had gone hardly two blocks when it came to him that there was a more useful way of spending their time. The library! [SNIPPET] It knocked him down. Before he could get his breath, a red, wet tongue was licking his face and hands, and he was looking up into the face of a police dog! Frantic with joy at seeing another in this city of death, the dog would scarcely let Miller rise. It stood up to plant big paws on his shoulders and try to lick his face. Miller laughed out loud, a laugh with a throaty catch in it. ""Where'd you come from, boy?"" he asked. "" Won't they talk to you, either? What's your name, boy?""",1
9,"That is the difference. The assassin fails in his blows once in a while; the corporation never. But where was Russell? What was the nature of the calamity? The impenetrable fact that there was an actual, invisible dead line cast about that territory, with Russell as its centre, became confirmed with every report. It will be recalled that all the railroad tracks entering the doomed city were twisted as if clawed by a maddened monster. It presented a similar appearance to the South Carolina railroad on the day of the Charleston earthquake. This gave rise again to the earthquake theory. [SNIPPET] I rejoiced that I should leave neither wife nor child to bear the burden of my shame throughout their lives.  As I thought upon my misfortune, I considered more clearly than ever before the unrighteousness of the regulation which was to prove my doom, and in the natural revolt against its injustice my anger rose, and there mounted within me a feeling which I imagine must have paralleled that spirit that once was prevalent among the ancients called anarchy.  For the first time in my life I found my sentiments arraying themselves against custom, tradition, and even government. The wave of rebellion swept over me in an instant, beginning with an heretical doubt as to the sanctity of the established order of things—that fetish which has ruled Pan-Americans for two centuries, and which is based upon a blind faith in the infallibility of the prescience of the long-dead framers of the articles of Pan-American federation—and ending in an adamantine determination to defend my honor and my life to the last ditch against the blind and senseless regulation which assumed the synonymity of misfortune and treason.  I would replace the destroyed instruments upon the bridge; every officer and man should know when we crossed thirty. But then I should assert the spirit which dominated me, I should resist arrest, and insist upon bringing my ship back across the dead line, remaining at my post until we had reached New York. Then I should make a full report, and with it a demand upon public opinion that the dead lines be wiped forever from the seas.  I knew that I was right.",0
10,"""Yes. All ready,"" said McIlvaine, trembling with eagerness. ""Don't be alarmed now. It will take several hours,"" said Guru. ""I'm not alarmed,"" answered McIlvaine. And indeed he was not; he was filled with an exhilaration akin to mysticism, and he sat waiting for what he was certain must be the experience above all others in his prosaic existence. ""McIlvaine's disappearance coming so close on Richardson's gave us a beautiful story,"" said Harrigan. "" [SNIPPET] But then, he was known as a minor authority on the customs of the Dutch colony. ""He was touched, obviously. Just the same, he challenged me, in a way. I wanted to know something more about him, how his machine worked, how he took off, and so on. I made up my mind the next time I was in the neighborhood to look him up, hoping he wouldn't be home. ""When I made it, his sister was alone, and in fine fettle, as cantankerous as a flea-bitten mastiff.",1
11,"The Colonel scratched his chin again as he looked at Mrs. Johns-Hayes. "" Is that so? Is that so? What's all this about history books? You mean I got in history because I married Becky Sayles?"" The Professor laughed. "" Well, not exactly. It was because of your heroism in the defeat of Burgoyne's army. [SNIPPET] Perhaps if you went out and talked to them...."" ""You know there's no other way. Those people believe you've brought disaster to the human race and they mean to kill you. And if you don't hurry they will,"" Towney said urgently. "" The time machine is set for twenty years in the future. Please hurry, sir!"" The door was beginning to give. Clark looked around unhappily and then walked to the time machine. """,1
12,"I mean it! Any figure! Any!"" Calhoun shrugged. ""What would a Med Ship man do with money? [SNIPPET] It's all right. I blew up the ship and everything's all right. I wouldn't even mention it to Sattell if I were you."" He grinned happily down at a section of plastic stair-rail he'd found not too far from where the ship exploded. When the man down in the mine cut off, Pop got out of his vacuum suit in a hurry.",1
13,"Here you are, carrying a torch for me, and taking out your frustration in comic-book daydreams. And the protagonist in your dream is poor Brannan, of whom you are obviously jealous. Why, Brannan doesn't mean a thing to me! So, here you are, rescuing me—or stealing me—from the evil Brannan, and slaying the dragon he sends out to kill us both, and proceeding on your merry way toward a happily-ever-after ending. See, there's the Garden of Eden at the end of the dark valley...."" ""And there's Brannan again, to foul up the works,"" said Jensen. "" [SNIPPET] Anything wrong, Mr. Vogel?"" ""No."" Vogel paused. "" Thanks, Tim."" He hung up, glanced at his fingers. They were shaking. ""You,"" Alice said, ""look ready to call mate in three.""",0
14,"She knew the statistics he wanted. "" Ruby Johnson, 32, 145 pounds, brown hair and green eyes. Prints on file."" The judge leaned down and mentioned something to the bailiff, who left and presently came back with a ledger. The judge opened it and ran his fingers down one of the pages. The sentence would probably be the usual, she thought—six months and a fine, or perhaps a little more when they found out she had a record for shoplifting. A stranger in the courtroom in the official linens of the government suddenly stepped up beside the judge and looked at the page. She could hear a little of what he said: ""... anxiety neurosis ... obvious feeling of not being wanted ... probably steals to attract attention ... recommend emigration."" [SNIPPET] It's a top-level board in the Earth Government! Nothing could reorganize it but a wholesale—"" He broke off, his jaw sagging as the implication sank in. ""You're rather out on a limb, you see,"" said the captain coolly. "" Poor communications and all that. The fact is that the entire Earth Government has undergone a slight reorganization also."" The Dustie knew that something had happened. Pete didn't know how he knew.",0
15,"And we fell to, tearing like hungry beasts at the succulent white meat in the jeweled trenchers. Strange monsters served us, and at a chill touch on my arm I turned to find a dreadful crimson thing, like a skinned child, refilling my goblet. Strange, strange and utterly blasphemous was our feast. We shouted and laughed and fed there in the hazy light, while all around us thundered the evil horde. There was hell beneath Castle Kralitz, and it held high carnival this night. Presently we sang a fierce drinking-song, swinging the deep cups back and forth in rhythm with our shouted chant. It was an archaic song, but the obsolete words were no handicap, for I mouthed them as though they had been learned at my mother's knee. [SNIPPET] And then pride came to my aid. I was a Kralitz. And a Kralitz would not acknowledge fear in the face of the devil himself! I stepped forward and confronted the warders, who were still seated regarding me intently from eyes in which a smoldering fire seemed to burn. Fighting down an insane dread that I might find before me an array of fleshless skeletons, I stepped to the head of the table, where there was a sort of crude throne, and peered closely at the silent figure on my right.",1
16,"""Now wait a minute,"" Crowley protested. "" You mean I'm the only man in this whole country that's like me? I mean, you mean I'm the average guy, right in the middle?"" Patricia O'Gara said impatiently. "" [SNIPPET] That's a big job for one note. It might be a sound no one has ever heard before."" Longtree shrugged. "" It may even sound alien,"" he admitted, ""but it's got to be the right note."" ""Play, and we'll see,"" Channeljumper urged. Longtree played. And as he played, his features relaxed into a gentle smile of happiness and his body turned orange.",0
17,"Ernest was carried away in spite of himself by her account, which vividly resembled his own experience. Still he would not give in. ""All this is impressive. I admit it is very impressive. But you yourself speak of such stories as legends. They are unfounded upon any tangible fact, and you cannot expect a man schooled in modern sciences to admit, as having any possible bearing upon his life, the crude belief of the Middle Ages!"" [SNIPPET] Shakespeare absorbed what was great in little men—a greatness that otherwise would have perished—and gave it a setting, a life."" ""A thief may plead the same. I understand you better. It is your inordinate vanity that prompts you to abuse your monstrous power.""",1
18,"He spent the next two hours in the ozalid room, leafing through the print files. The job number called for a deep-freeze showcase, and there were exactly two hundred and seven detail drawings involved. Not one of them matched the print in shipping. After an almost silent dinner at home, he sat smoking his pipe, waiting for the phone to ring. It rang at eight. [SNIPPET] Six more Terms ran amuck and had to be destroyed. Final assembly became a shambles. Starza called me on the visicom, delighted. "" Our Guild agent played right into our hands, Jake. In forcing a production slump he's harming the workers. His next move will probably be a bluff."" I wasn't so sure. That evening the executive dining room was choked with a tight, gnawing tension.",1
19,"She was his evil genius, and he feared her. She had flattered and despised him, and he hated her. How laughingly she had lured him with her jewelled hand and iridescent eyes down the pleasant path that brought up at his fatal vice! He thought of her polite orgies, her theatre suppers, her one o'clock germans, and her select parties at suburban hotels. To his besotted brain she was a scarlet witch and he fled from her, and returned, and fled again. But what manner of man was this Doctor? [SNIPPET] I think it is going to be a wonder. Now, here is the idea: instead of using a grid——"" ""Yes, yes!"" the old aristocrat said hastily. "" But never mind that now. I know very little of such things. I have an electrician employed by the year to care for my radio set and I leave all such things to him. You are a lawyer, are you not?"" I told him I was.",0
20,"""You talk like a man,"" Martha accused him. "" I wish my Mem was just down the road a piece, ready to come a-running when my time came,"" she said. She put one hand on her apron. Chuudes Paste! The little rascal is wild as a colt, indeed. Feel him, Stoltz!"" Aaron dutifully placed his hand to sense the child's quickening. "" He'll be of help on the farm, so strong as he is,"" he remarked. [SNIPPET] Underwood felt seriously inclined to abandon the problem. While completely fascinating, it was hardly more soluble than was the problem of the composition of the stars in the days before the spectroscope was invented. Neither the archeologists, the semanticists, nor the physicists yet had the tools to crack the problem of the Stroids. Until the tools became available, the problem would simply have to go by the boards. The only exception was the remote possibility of a deliberate clue left by the Stroids themselves, but Underwood did not believe in miracles. His final conviction came when word came back from Dreyer, who said, ""Congratulations, Phyfe,"" and returned the copies of the Stroid characters with a short note. ""Well, that does it,"" said Underwood. Phyfe was dismayed by Dreyer's reply. """,0
21,"Constans had been growing more and more uncomfortable, and this seemed to be his opportunity to escape. He edged towards the door. Now the metal knob of the door handle was within reach; he grasped it, and received a severe electric shock. Unable to master his startled nerves, he gave utterance to a cry of pain. [SNIPPET] But Nanna was not to be so easily convinced. "" But, Esmay, it is impossible,"" she exclaimed. "" You could never escape from Doom."" ""But I will."" ""You cannot. The High Bridge to the north is always guarded, and on the other three sides of the city there is deep water."" ""I shall manage it,"" returned the girl, confidently. "" It is simply a question of my going empty-handed to my uncle's house. Now gold among the House-dwellers has a value that it does not possess with us; so Ulick once told me.",1
22,"Fine. Dandy."" The event was of minor importance, except for the revelation involved. The Harveys had a gift for putting guests at ease, the gift being a cellar full of thirty-year-old bourbon the elder Harvey had bequeathed them at the end of their adjustment period. The talk moved here and there, over the bourbon, Alice sharing in it rarely, though nodding when Joe was talking. [SNIPPET] She paused to smile at Joe. "" Up against the man who invented the comptin-reduco-determina."" She added, as an afterthought, ""And his charming, brilliant new wife."" Which brought about incident number three. Alice turned to Mrs. Tullgren sweetly and asked, ""Don't you really understand the comptin-reduco-determina?"" ""Not even faintly,"" Mrs. Tullgren answered.",1
23,"That is why we were placed in charge of humanity. Someday you, too, may advance to the point where you know, and we shall return whence we came.""  ""But who placed you in charge,"" Ludovick asked, ""and whence did you come?"" Fearing he might seem motivated by vulgar curiosity, he explained, ""I am doing research for an epic poem.""  A lifetime spent under their gentle guardianship had made Ludovick able to interpret the expression that flitted across this Belphin's frontispiece as a sad, sweet smile.  ""We come from beyond the stars,"" he said. Ludovick already knew that; he had hoped for something a little more specific. "" We were placed in power by those who had the right. [SNIPPET] ""What about—"" I started. He cut me off: ""Maxwell will stay with you. He's not to let you out of his sight. In case anyone asks, he's your brother-in-law from Sacramento.""",0
24,"I'll put a complete parts and assembly manual inside the crate."" ""Good, good. But maybe I should test it again, you know. Star-Time can't really afford to make a mistake as expensive as this."" ""No,"" Jenkins said quickly. Then, ""I'll guarantee it, of course. If it doesn't work out, I'll give you a full refund. But don't try it again, today. [SNIPPET] ""We will do everything we can to make up for ... we will try to help,"" says the bunny, stumbling over the English, but civilized and cordial and kind. I sit up suddenly, reaching out impulsively to shake his hand. Suddenly frightened he leaps back. All of them step back, glancing behind them as though making sure of the avenue of escape. Their big luminous eyes widen and glance rapidly from me to the doors, frightened.",0
25,"His Majesty, I fear, reads too much of old books. He always was historically inclined."" On a later occasion Zimmern gave me the broad outlines of the history of German Eugenics. ""Our science of applied Eugenics,"" he said, ""began during the Second World War. Our scientists had long known that the same laws of heredity by which plants and animals had been bred held true with man, but they had been afraid to apply those laws to man because the religion of that day taught that men had souls and that human life was something too sacred to be supervised by science. [SNIPPET] ""Of course he is,"" said she. And I looked and saw that the earth was difficult and dry and that every spadeful that the tired men lifted was full of pearls; but some men sat quite still and watched the butterflies that flitted about the garden and the old witch did not beat them with her stick. And when I asked her who the diggers were she said, ""These are my poets, they are digging for pearls."" And when I asked her what so many pearls were for she said to me: ""To feed the pigs of course."" ""But do the pigs like pearls?"" I said to her. ""Of course they don't,"" she said. And I would have pressed the matter further but the old black cat had come out of the cottage and was looking at me whimsically and saying nothing so that I knew I was asking silly questions. And I asked instead why some of the poets were idle and were watching butterflies without being beaten.",0
26,"From their midst, a lioness burst. ""Here, Dog!"" shouted the man. "" A sweeper! [SNIPPET] Couldn't science wait until 9:10 in the morning? ""I was thinking about you today,"" Judy said, and Anders knew that she had sensed the change in his mood. ""Do you see?"" the voice asked him. """,0
27,"""I had forgotten that they were circular."" ""That is because of the pressure. A circle presents the best resistance,"" and picking an odd envelope from his pocket, he made the following sketch and passed it to me. I nodded as I recognized the cross-section. ""Now the plan of the thing is like this,"" he added, putting aside his pipe and pulling a sheet of paper from the corner of his desk. Rapidly, with all his old accuracy, he sketched the main plan and leaned over as he handed it to me. ""You see,"" he explained, picking up his pipe again, ""both pumps work at one time—in fact, I should say all four, because this plan is duplicated on the English side. On both ends then, a train is gently pushed in by an electric locomotive. A car at a time goes through the gate so that there is a cushion of air between each car. [SNIPPET] We'll only be a mile and a half away, and that'll be too close to fifty kilos[Pg 6] of negamatter if the field collapses."" ""It'll be all right,"" Pitov assured him. "" The bugs have all been chased out years ago."" ""Not out of those generators in the rocket. They're new."" He fumbled in his coat pocket for his pipe and tobacco. "" I never thought I'd run another nuclear-bomb test, as long as I lived.""",0
28,"From there it was just a matter of pushing the process back through time. They had to teach me a whole new language to explain that one."" ""Isn't it wonderful that intergalactic travel gives us room to expand?"" said the girl. "" I mean now that every human being that ever lived has been brought back to life and will live forever?"" ""Same problem I had, me and my people,"" said the man. "" We were cramped for space. This age has solved it a lot better than I did. [SNIPPET] Does your husband own one?"" Melinda shook her blonde head helplessly. "" What are your economic circumstances?"" Melinda took a deep rasping breath, said, ""Listen, mister, is this a demonstration or a quiz program?"" ""Oh, my excuse. Demonstration, certainly. You will not mind the questions?""",0
29,"The very night the test of the WZZZ outfit was made he passed away and was no more on earth. His funeral was one of the biggest we ever had in Westcote. I should judge that five thousand people attended his remains to the cemetery, for it had become widely known that the first WZZZ program would be received and loud-spoken from Remington Solander's tomb that afternoon, the first selection on the program—his favorite hymn—beginning as the funeral cortege left the church and the program continuing until dark. I'll say it was one of the most affecting occasions I have ever witnessed. As the body was being carried into the tomb the loud speaker gave us a sermon by Rev. Peter L. Ruggus, full of sob stuff, and every one of the five thousand present wept. And when the funeral was really finished, over two thousand remained to hear the rest of the program, which consisted of hymns, missionary reports, static and recitations of religious poems. We increased the price of the lots in the new addition one hundred dollars per lot immediately, and we sold four lots that afternoon and two the next morning. The big metropolitan newspapers all gave the Westcote Cemetery full page illustrated articles the next Sunday, and we received during the next week over three hundred letters, mostly from ministers, praising what we had done. But that was not the best of it. [SNIPPET] He tried to strike this, but the floor was wet, and it spat and went out. He cursed. He could not see where the door was situated. In his struggle he had quite lost his bearings. The strange beast, disturbed by the splutter of the match, began to move again. “ Time!”",0
30,"Then he was running, finding his breath coming in sharp gasps and he was among the crowds. They smiled at him as he passed by and held out their hands to him. Their faces shone with a brilliance of awareness and he knew that they loved him. Troubled, frightened, he kept running, blindly, and, abruptly, there were no people, no buildings. He was walking now, at the left side of a modern super-highway, against the traffic. Autos sped by him, too quickly for him to determine the year of model. Across the divider the traffic was heavier, autos speeding crazily ahead in the direction he was walking; none stopped. He halted for a moment and looked around him. [SNIPPET] It had been partly his fault when he first gave in to something he didn't want to do, and then to something else, and something else after that. He had helped dig the rut in which he had found himself, taking it for granted just as Dorothy had taken it for granted. Her hair was soft in the same moonlight that had shone eight years before, and Sam Meecham felt a desire that had been too long unfulfilled. ""Dorothy, I—"" He hesitated. The decision came hard to him, for much of his life had been devoted to giving in to the decisions of others. This was the moment he had been waiting for, and now at the last moment he was uncertain. He said suddenly, ""Can you pack a few things?""",0
31,"Is it inconceivable that there should be an undiscovered explosive capable of disrupting the globe? We have earthquakes. Is it beyond imagination that the forces which produce them can be controlled?"" ""My dear Sir John,"" returned Von Koenitz courteously, ""my ultimate answer is that we have no adequate reason to connect the phenomena which have disturbed the earth's rotation with any human agency."" [SNIPPET] But the quick-falling dusk caught them while yet among the black rubbery trees. And the dark showed Chet why their branches might not be inviting as a sleeping place. By ones and twos they came at first, occasional lines of light that flowed swiftly and vanished through the black tangle of limbs. Chet could hardly believe them real; they appeared and were lost from sight as if they had melted. But more came, and it seemed at last as if the roof above were alive with light. The moving, luminous things glowed in hues that were never still: were pure gold, were green, then red, melting and changing through all the colors of the spectrum. Living fireworks that were a blaze of gorgeous beauty!",0
